SourceFile,DataGroup,SiteID,SiteName,Latitude,Longitude,SampleDate,SampleTime,SourceCharacteristic,ResultRaw,UnitRaw,SampleFraction,MethodSpeciation,DetectionLimitRaw,DetectionLimitUnitRaw,DetectionLimitTypeRaw,LaboratoryName,AnalyticalMethod,SiteName_reference,Latitude_reference,Longitude_reference,CoordinateReferenceSystem,WaterbodyType,CharacteristicName,characteristic_note,SiteNameClean,LatitudeClean,LongitudeClean,SampleDateParsed,SampleTimeParsed,SampleTimeClean,SampleTimeZoneClean,IsCensored,ResultValueClean,ResultDetectionConditionClean,DetectionLimitClean,DetectionLimitUnitClean,DetectionLimitTypeClean
DMNP_Field_2012_2024.xlsx,Field,DMNP-ST-01,North Fork Big Stream,46.7351,-60.6412,2012-07-15,10:30,DO,8.4,mg/L,NA,NA,NA,NA,NA,NA,YSI Pro Plus,North Fork Big Stream,46.735,-60.641,WGS84,Stream,Dissolved oxygen (DO),Mapped from field abbreviation,North Fork Big Stream,46.7351,-60.6412,2012-07-15,10H 30M 0S,10:30:00,-04:00,FALSE,8.4,NA,NA,NA,NA
DMNP_Field_2012_2024.xlsx,Field,DMNP-ST-02,South Meadow Creek,46.801,-60.512,2014-08-03,09:15,Temp,37.8,deg C,NA,NA,NA,NA,NA,NA,YSI Pro Plus,South Meadow Creek,46.801,-60.512,WGS84,Stream,"Temperature, water",Mapped from field abbreviation,South Meadow Creek,46.801,-60.512,2014-08-03,9H 15M 0S,09:15:00,-04:00,FALSE,37.8,NA,NA,NA,NA
DMNP_Field_2012_2024.xlsx,Field,DMNP-LK-01,Clearwater Lake,46.91,-60.455,2019-07-21,13:00,pH,7.4,None,NA,NA,NA,NA,NA,NA,YSI Pro Plus,Clearwater Lake,46.91,-60.455,WGS84,Lake,pH,Source name already matches a common characteristic name,Clearwater Lake,46.91,-60.455,2019-07-21,13H 0M 0S,13:00:00,-04:00,FALSE,7.4,NA,NA,NA,NA
DMNP_Field_2012_2024.xlsx,Field,DMNP-ST-03,Upper Falls Outlet,NA,NA,2024-08-11,08:55,SpCond,125,uS/cm,NA,NA,NA,NA,NA,NA,YSI Pro Plus,Upper Falls Outlet,46.875,-60.52,WGS84,Stream,Specific conductance,Mapped from field abbreviation,Upper Falls Outlet,46.875,-60.52,2024-08-11,8H 55M 0S,08:55:00,-04:00,FALSE,125,NA,NA,NA,NA
DMNP_Lab_Chemistry_2012_2024.csv,Lab chemistry,DMNP-ST-02,South meadow creek,46.801,-60.512,2018-07-22,11:45,Nitrate-N,0.31,mg/L,Filtered,NA,NA,NA,NA,National Laboratory for Environmental Testing,Colorimetry,South Meadow Creek,46.801,-60.512,WGS84,Stream,Nitrate,Mapped from lab abbreviation and reported as nitrogen,South Meadow Creek,46.801,-60.512,2018-07-22,11H 45M 0S,11:45:00,-04:00,FALSE,0.31,NA,NA,NA,NA
DMNP_Lab_Chemistry_2012_2024.csv,Lab chemistry,DMNP-LK-01,Clearwater Lake,46.91,-60.455,2019-07-21,13:05,pH,7.2,None,NA,NA,NA,NA,NA,National Laboratory for Environmental Testing,SM 4500-H+,Clearwater Lake,46.91,-60.455,WGS84,Lake,pH,Source name already matches a common characteristic name,Clearwater Lake,46.91,-60.455,2019-07-21,13H 5M 0S,13:05:00,-04:00,FALSE,7.2,NA,NA,NA,NA
DMNP_Lab_Chemistry_2012_2024.csv,Lab chemistry,DMNP-ST-03,Upper Falls Outlet,46.875,-60.52,2024-08-11,09:20,Hardness,42,mg/L,NA,From CaCO3,NA,NA,NA,National Laboratory for Environmental Testing,SM 2340B,Upper Falls Outlet,46.875,-60.52,WGS84,Stream,Total hardness,Mapped from local lab name and reported as CaCO3,Upper Falls Outlet,46.875,-60.52,2024-08-11,9H 20M 0S,09:20:00,-04:00,FALSE,42,NA,NA,NA,NA
DMNP_Metals_2016_2024.xlsx,Heavy metals,DMNP-LK-01,Clearwater Lake,46.91,-60.455,2020-09-10,14:20,Pb,<0.002,mg/L,NA,NA,NA,NA,NA,Water Chemistry Lab,NA,Clearwater Lake,46.91,-60.455,WGS84,Lake,Lead,Mapped from chemical symbol,Clearwater Lake,46.91,-60.455,2020-09-10,14H 20M 0S,14:20:00,-04:00,TRUE,NA,Below Detection/Quantification Limit,0.002,mg/L,Reporting Limit
DMNP_Metals_2016_2024.xlsx,Heavy metals,DMNP-LK-01,Clearwater Lake,46.91,-60.455,2021-09-12,13:10,Cadmium,BDL,ug/L,Dissolved,NA,0.05,ug/L,Reporting Limit,Water Chemistry Lab,EPA 200.8,Clearwater Lake,46.91,-60.455,WGS84,Lake,Cadmium,Source name already clear,Clearwater Lake,46.91,-60.455,2021-09-12,13H 10M 0S,13:10:00,-04:00,TRUE,NA,Below Detection/Quantification Limit,0.05,ug/L,Reporting Limit
DMNP_Metals_2016_2024.xlsx,Heavy metals,DMNP-ST-02,South Meadow Creek,46.801,-60.512,2022-08-18,10:05,Copper,0.004,mg/L,NA,NA,NA,NA,NA,Water Chemistry Lab,EPA 200.8,South Meadow Creek,46.801,-60.512,WGS84,Stream,Copper,Source name already clear,South Meadow Creek,46.801,-60.512,2022-08-18,10H 5M 0S,10:05:00,-04:00,FALSE,0.004,NA,NA,NA,NA
