DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZone,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultAnalyticalMethodName,LaboratoryName,ResultComment
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-01,North Fork Big Stream,46.7351,-60.6412,WGS84,River/Stream,Field Msr/Obs,Surface Water,2012-07-15,10:30:00,-04:00,Dissolved oxygen (DO),NA,NA,8.4,mg/L,Actual,NA,NA,NA,NA,Final,YSI Pro Plus multiparameter meter,NA,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-02,South Meadow Creek,46.801,-60.512,WGS84,River/Stream,Field Msr/Obs,Surface Water,2014-08-03,09:15:00,-04:00,"Temperature, water",NA,NA,37.8,deg C,Actual,NA,NA,NA,NA,Final,YSI Pro Plus multiparameter meter,NA,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-LK-01,Clearwater Lake,46.91,-60.455,WGS84,Lake/Pond,Field Msr/Obs,Surface Water,2019-07-21,13:00:00,-04:00,pH,NA,NA,7.4,None,Actual,NA,NA,NA,NA,Final,YSI Pro Plus multiparameter meter,NA,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-03,Upper Falls Outlet,46.875,-60.52,WGS84,River/Stream,Field Msr/Obs,Surface Water,2024-08-11,08:55:00,-04:00,Specific conductance,NA,NA,125,uS/cm,Actual,NA,NA,NA,NA,Final,YSI Pro Plus multiparameter meter,NA,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-02,South Meadow Creek,46.801,-60.512,WGS84,River/Stream,Sample-Routine,Surface Water,2018-07-22,11:45:00,-04:00,Nitrate,NA,Filtered,0.31,mg/L,Actual,NA,NA,NA,NA,Final,Colorimetry,National Laboratory for Environmental Testing,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-LK-01,Clearwater Lake,46.91,-60.455,WGS84,Lake/Pond,Sample-Routine,Surface Water,2019-07-21,13:05:00,-04:00,pH,NA,NA,7.2,None,Actual,NA,NA,NA,NA,Final,SM 4500-H+,National Laboratory for Environmental Testing,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-03,Upper Falls Outlet,46.875,-60.52,WGS84,River/Stream,Sample-Routine,Surface Water,2024-08-11,09:20:00,-04:00,Total hardness,From CaCO3,NA,42,mg/L,Actual,NA,NA,NA,NA,Final,SM 2340B,National Laboratory for Environmental Testing,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-LK-01,Clearwater Lake,46.91,-60.455,WGS84,Lake/Pond,Sample-Routine,Surface Water,2020-09-10,14:20:00,-04:00,Lead,NA,NA,NA,mg/L,Actual,Below Detection/Quantification Limit,0.002,mg/L,Reporting Limit,Final,NA,Water Chemistry Lab,"Sample fraction missing in source file; result should not be assumed dissolved, total, or total recoverable"
Decent Mountains National Park Freshwater Monitoring,DMNP-LK-01,Clearwater Lake,46.91,-60.455,WGS84,Lake/Pond,Sample-Routine,Surface Water,2021-09-12,13:10:00,-04:00,Cadmium,NA,Dissolved,NA,ug/L,Actual,Below Detection/Quantification Limit,0.05,ug/L,Reporting Limit,Final,EPA 200.8,Water Chemistry Lab,NA
Decent Mountains National Park Freshwater Monitoring,DMNP-ST-02,South Meadow Creek,46.801,-60.512,WGS84,River/Stream,Sample-Routine,Surface Water,2022-08-18,10:05:00,-04:00,Copper,NA,NA,0.004,mg/L,Actual,NA,NA,NA,NA,Final,EPA 200.8,Water Chemistry Lab,"Sample fraction missing in source file; result should not be assumed dissolved, total, or total recoverable"
